
 .d8888b.                        888                  d88888888888
d88P  Y88b                       888                 d88888  888  
888    888                       888                d88P888  888  
888       888d888888  88888888b. 888888 .d88b.     d88P 888  888  
888       888P"  888  888888 "88b888   d88""88b   d88P  888  888  
888    888888    888  888888  888888   888  888  d88P   888  888  
Y88b  d88P888    Y88b 888888 d88PY88b. Y88..88P d8888888888  888  
 "Y8888P" 888     "Y8888888888P"  "Y888 "Y88P" d88P     8888888888
                      888888                                      
                 Y8b d88P888                                      
                  "Y88P" 888                              by UmeW

             ***** Market Data Saver ******               

2017-12-18 16:46:00 : 18623.611904761903, low: 18601.5, high: 18650, r: 22.142857142857142, vol:1699336
2017-12-18 16:46:00 : 20772.409090909092, low: 20754, high: 20811, r: 9.090909090909092, vol:11620
2017-12-18 16:46:00 : 18919.298165137614, low: 18875.5, high: 18954, r: 0.9174311926605505, vol:113099
2017-12-18 16:46:00 : 0.039975, low: 0.03995, high: 0.04, r: 100.0, vol:10
2017-12-18 16:46:00 : 0.1265, low: 0.1265, high: 0.1265, r: 0.0, vol:11
2017-12-18 16:46:00 : 0.01739, low: 0.01739, high: 0.01739, r: 100.0, vol:6
2017-12-18 16:47:00 : 18640.643968871595, low: 18614.5, high: 18666, r: 82.87937743190662, vol:1035385
2017-12-18 16:47:00 : 18939.29761904762, low: 18923.5, high: 18956, r: 59.523809523809526, vol:167127
2017-12-18 16:47:00 : 0.12735000000000002, low: 0.1272, high: 0.1275, r: 100.0, vol:15
2017-12-18 16:47:00 : 20753.875, low: 20750, high: 20756.5, r: 56.25, vol:29047
2017-12-18 16:48:00 : 18661.959375, low: 18656.5, high: 18670.5, r: 56.875, vol:627897
2017-12-18 16:47:00 : 0.04002, low: 0.04, high: 0.04006, r: 100.0, vol:10
2017-12-18 16:47:00 : 0.00206, low: 0.00206, high: 0.00206, r: 0.0, vol:1
2017-12-18 16:48:00 : 0.12744285714285714, low: 0.1271, high: 0.1278, r: 57.142857142857146, vol:15
2017-12-18 16:48:00 : 18930.590909090908, low: 18927.5, high: 18940, r: 18.181818181818183, vol:15149
2017-12-18 16:48:00 : 0.028999, low: 0.028999, high: 0.028999, r: 100.0, vol:10
2017-12-18 16:48:00 : 20750.0, low: 20750, high: 20750, r: 0.0, vol:12500
2017-12-18 16:49:00 : 18652.625, low: 18648, high: 18656.5, r: 20.945945945945947, vol:695140
2017-12-18 16:49:00 : 18914.133333333335, low: 18905, high: 18928.5, r: 6.666666666666667, vol:74754
2017-12-18 16:49:00 : 20750.0, low: 20750, high: 20750, r: 0.0, vol:500
